SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO_TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
Khamla xayavong,3c:15:fb:a5:ed:e8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11,18,24,36,54","6,9,12,48",58:13.6,00:11.0,Infrastructure,Unknown,78,-66,Khamla xayavong,3c:15:fb:a5:ed:e8,-76,2437,102.54807704802856,18.02913112559888
SANTHALACK,b8:85:7b:8b:69:b1,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,44,0,0,"6,9,12,18,24,36,48,54",,58:21.2,00:17.2,Infrastructure,Unknown,26,-85,SANTHALACK,b8:85:7b:8b:69:b1,-90,5220,102.54853160553668,18.029108449836503
DDPAI_mola_E3_01FE,98:c9:7c:c7:01:fe,"Shenzhen iComm Semiconductor CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:21.2,00:22.0,Infrastructure,Unknown,53,-75,DDPAI_mola_E3_01FE,98:c9:7c:c7:01:fe,-74,2422,102.54853160553668,18.029108449836503
HONDA_WIFI3142B5,cc:57:63:31:42:b6,"Panasonic Automotive Systems Co.,Ltd",0,OWE,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,58:26.6,00:22.0,Infrastructure,Unknown,38,-80,HONDA_WIFI3142B5,cc:57:63:31:42:b6,-95,5745,102.54853160553668,18.029108449836503
NaCha,e4:3e:c6:4e:dc:48,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,58:26.6,00:22.0,Infrastructure,Unknown,16,-90,NaCha,e4:3e:c6:4e:dc:48,-71,5180,102.5491366902361,18.029090392620645
SID,e8:6e:44:dd:28:66,zte corporation,0,WPA2-Personal,CCMP,802.11n,8,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",58:26.6,00:25.3,Infrastructure,Unknown,46,-77,SID,e8:6e:44:dd:28:66,-81,2447,102.5494077863122,18.029084624113324
Vong,b0:8b:92:75:95:7e,zte corporation,0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",58:30.0,00:25.3,Infrastructure,Unknown,60,-73,Vong,b0:8b:92:75:95:7e,-78,2452,102.5491366902361,18.029090392620645
AL auto parts ,98:1a:35:83:9d:6c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,58:30.0,00:25.3,Infrastructure,Unknown,18,-89,AL auto parts ,98:1a:35:83:9d:6c,-87,5745,102.5494077863122,18.029084624113324
TP-LINK_D756,74:05:a5:91:d7:56,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:30.0,00:25.3,Infrastructure,Unknown,18,-89,TP-LINK_D756,74:05:a5:91:d7:56,-86,2462,102.54984269980008,18.029076629100736
Xaimoungkhoun,e8:6e:44:dd:55:d8,zte corporation,0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",58:30.0,00:28.5,Infrastructure,Unknown,65,-71,Xaimoungkhoun,e8:6e:44:dd:55:d8,-77,2457,102.55095215934192,18.029052510882487
NY,60:d7:55:e4:48:9c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,58:34.8,00:28.5,Infrastructure,Unknown,13,-92,NY,60:d7:55:e4:48:9c,-87,5180,102.54984269980008,18.029076629100736
c6838ea8,50:2c:c6:83:8e:a8,"GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI",0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,58:34.8,00:25.3,Infrastructure,Unknown,24,-86,c6838ea8,50:2c:c6:83:8e:a8,-91,2412,102.54984269980008,18.029076629100736
